Business Name,Address,City,State,Number of Reviews,Site,Phone,Photo,pricing,wide_selection,sell_antiques,sell_books,clean_organized,sell_clothes,sell_furniture,sell_jewelry,sell_gift_items,sell_premium_brand,sell_merchandise,friendly_employees
Rapha Ministries Thrift Store,"319 Gilbert Ferry Rd SW, Attalla, AL 35954",Attalla,Alabama,195,https://www.raphathrift.com/,+1 256-290-1818,https://lh5.googleusercontent.com/p/AF1QipPILYqE8bSt3Uw3uUx50_JbjJCfzLOUNpI_8Bt0=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Lovelady Thrift Store,"2402 Old Springville Rd, Center Point, AL 35215",Center Point,Alabama,610,https://www.loveladycenter.org/thrift-stores/,+1 205-951-9230,https://lh5.googleusercontent.com/p/AF1QipNqfvvBa5rH0ZKAE94sFARAjeFddGCwYSNqGeDa=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Play It Again,"108 Bob Wallace Ave SW, Huntsville, AL 35801",Huntsville,Alabama,64,No data available,+1 256-536-3729,https://lh5.googleusercontent.com/p/AF1QipM9_G-CRgY4O37wJcQads8pbz8C6MLziY5KVTOz=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
South Boutique Birmingham,"701 Doug Baker Blvd #109, Birmingham, AL 35242",Birmingham,Alabama,26,http://www.southboutique.com/,+1 205-968-1777,https://lh5.googleusercontent.com/p/AF1QipPdorq5AIsgH83jcIygPz8NRIMTEi_c7QlxACeA=w800-h500-k-no,High,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Sweet Pickins' In Alabama,"80 River Run Rd, Childersburg, AL 35044",Childersburg,Alabama,161,http://www.facebook.com/sweetpickinsalabama/,+1 256-346-2023,https://lh5.googleusercontent.com/p/AF1QipN8emYf1hONZMV5oSr9GWM8H-Q-jtcn6IYO9Bo=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Heaven Cent Thrift,"1691 Center Point Pkwy, Center Point, AL 35215",Center Point,Alabama,97,http://www.heavencentthrift.com/,+1 205-678-1492,https://lh5.googleusercontent.com/p/AF1QipP2rpNwLY2RZsm8uEUNs1EQMcKhU2DCWyFEI0CO=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Mom's At Seven Points,"1129 N Wood Ave, Florence, AL 35630",Florence,Alabama,32,No data available,+1 407-617-5144,https://lh5.googleusercontent.com/p/AF1QipMfWl44HIs_7339QHXuHRFy5Wmd0WbuYC-SW-8=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Elisabet Boutique,"124 N College St, Auburn, AL 36830",Auburn,Alabama,198,https://shopelisabetboutique.com/,+1 334-209-2504,https://lh5.googleusercontent.com/p/AF1QipMW7K59SqVIB6wZAR3BtjduBROW7_zerjg-gbYc=w800-h500-k-no,High,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Sand Box,"1604 Bienville Blvd, Dauphin Island, AL 36528",Dauphin Island,Alabama,71,No data available,+1 251-861-6001,https://lh5.googleusercontent.com/p/AF1QipOT7TK_RLOLxdAzfeMhTf1-e0Jxafifm7-HxxmT=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Sweet Seconds,"21193 AL-181, Fairhope, AL 36532",Fairhope,Alabama,53,http://www.sweetsecondsfairhope.com/,+1 251-928-8771,https://lh5.googleusercontent.com/p/AF1QipNMfU3oYYTsGKMtQG4histeY_EKEkZGL_1zqokK=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Esther House Thrift Store,"806 Pelham Rd S, Jacksonville, AL 36265",Jacksonville,Alabama,112,http://www.7springsministries.org/,+1 256-770-4089,https://lh5.googleusercontent.com/p/AF1QipMoNTftGhLW2zKIiinB7ibpYHIGvkmkeNb38bCn=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Cedar Bluff Sporting & Pawn,"4751 AL-68, Cedar Bluff, AL 35959",Cedar Bluff,Alabama,57,https://www.facebook.com/CedarBluffSporting/,+1 256-779-6454,https://lh5.googleusercontent.com/p/AF1QipNH-TlR1QbwR00tbRKi2pBEG2OxAzU758ohqzeY=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Leach & Co.,"5650 Sanderson St NW # T, Huntsville, AL 35805",Huntsville,Alabama,45,http://leachandcodesign.com/,+1 256-270-8950,https://lh5.googleusercontent.com/p/AF1QipP1ovYrHuDP9Sg8O7Htb7gY9R27PavQh6HFUGHv=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Lily Flagg Furniture,"8402 Whitesburg Dr # C, Huntsville, AL 35802",Huntsville,Alabama,28,http://lilyflaggfurniture.com/,+1 256-882-3960,https://lh5.googleusercontent.com/p/AF1QipOqXqTUVOu2cpqukPfg9jkGZu86AE_3rd5Z5Coi=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes
Three Bees Thrift & More Store,"1004 US-31 NW, Hartselle, AL 35640",Hartselle,Alabama,65,No data available,+1 256-502-9259,https://lh5.googleusercontent.com/p/AF1QipMgaPMlwINre9zkNcSUP36FpDq1cctCTNAV6R4e=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Fort Mitchell Trading Post And Hardware,"1025 AL-165, Fort Mitchell, AL 36856",Fort Mitchell,Alabama,228,No data available,No data available,No data available,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Candlelight Antiques,"26051 Upper Elkton Rd, Elkmont, AL 35620",Elkmont,Alabama,327,http://www.candlelightantiques.net/,+1 256-423-2746,https://lh5.googleusercontent.com/p/AF1QipN7b17AQcq6p1bFU5GIaJXbsy5WeTPSSqTfTXMu=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Parkside Outreach Program & Thrift Store,"12756 AL-69, Baileyton, AL 35019",Baileyton,Alabama,34,http://www.parksideoutreach.com/,+1 256-683-0715,https://lh5.googleusercontent.com/p/AF1QipNpreULvFJ-mOy32DrybqCasyQVonFdl0QjV-j2=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Railroad Station Antiques,"315 Jefferson St N, Huntsville, AL 35801",Huntsville,Alabama,169,No data available,+1 256-533-6550,https://lh5.googleusercontent.com/p/AF1QipMS-DXz2_KUtOqrnLiVKQyg-JFxWdLfg3m30P2A=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
T.J. Maxx,"4917 Promenade Pkwy S500, Bessemer, AL 35022",Bessemer,Alabama,596,https://tjmaxx.tjx.com/store/index.jsp,+1 205-425-8076,https://lh5.googleusercontent.com/p/AF1QipMRX3-Wt_92Z2nKjz0Xk2RCPz7FS4RajEz9Bz0o=w800-h500-k-no,Mid-Range,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
Black-Eyed Susie's Antique Gallery,"32021 US-98, Lillian, AL 36549",Lillian,Alabama,101,No data available,+1 251-961-1690,https://lh5.googleusercontent.com/p/AF1QipN_VrYSto0LR1pHZ_F6EUduOc0SQs34qaxdNdPO=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Blu Boutique & Vintage Market,"7967 Hwy 72 W, Madison, AL 35758",Madison,Alabama,80,No data available,+1 256-970-4901,https://lh5.googleusercontent.com/p/AF1QipOMwgibLIkyg-3HfN7bdzWp82hfvM0OILosCJsl=w800-h500-k-no,High,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Past And Present: Antique & Flea Market Outlet,"4329 US-84, Level Plains, AL 36322",Level Plains,Alabama,36,http://pnpalabama.com/,+1 334-599-0233,https://lh5.googleusercontent.com/p/AF1QipNh5DTE-cA6oCC1x4aWQ_kwiz3m839NFRDwjrDC=w800-h500-k-no,Mid-Range,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes
Resale Heaven Thrift Store,"1720 AL-59, Gulf Shores, AL 36542",Gulf Shores,Alabama,68,http://www.resaleheaven.org/,+1 251-968-2337,https://lh5.googleusercontent.com/p/AF1QipOGBRCP8R13Q62cZKN_VlzdNBY4MyDDTZOIfpC_=w800-h500-k-no,Low,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes
